3/5/2012,Keith Gonzalez d. Simón D'Alfonso,6-3; 6-1
3/5/2012,Keith Gonzalez d. Alex Warner,7-5; 6-0
3/5/2012,Simón D'Alfonso d. Oleg Markov,6-2; 4-4Ret (inj)
3/5/2012,Alex Warner d. (2) Robert Jakubik,6-2; 6-1
3/5/2012,Keith Gonzalez d. John Macris,6-4; 6-0
3/5/2012,Simón D'Alfonso d. Xavier Aguirre,6-0; 6-0
3/5/2012,Oleg Markov d. (1) Chris Wilson,7-5; 7-6(0)
3/5/2012,Keith Gonzalez d. Austin Debruyne,6-1; 6-0
3/5/2012,(2) Robert Jakubik d. Xavier Aguirre,6-1; 6-2
3/5/2012,(2) Robert Jakubik d. Austin Debruyne,7-6(4)6-3
3/5/2012,Xavier Aguirre d. (1) Chris Wilson,Wo (emerg)
3/5/2012,Austin Debruyne d. John Macris,6-3; 2-2Ret (inj)
3/12/2012,Clint Bowles d. Ty Trombetta,6-3; 5-7; 7-5
3/12/2012,Clint Bowles d. Ryan Brookshaw,4-6; 6-3; 6-1
3/12/2012,Ty Trombetta d. (7) Paulo Coronado,6-4; 6-3
3/12/2012,Clint Bowles d. Semen Tripolskiy,5-7; 6-3; 6-1
3/12/2012,Ryan Brookshaw d. Daniel Coronado,6-4; 6-3
3/12/2012,(7) Paulo Coronado d. (3) David Crisovan,Wo (emerg)
3/12/2012,Ty Trombetta d. (1) Juan Rocha,6-1; 6-4
3/12/2012,Semen Tripolskiy d. (2) Charles Degorge,6-2; 6-4
3/12/2012,Clint Bowles d. Alex Warner,6-1; 6-0
3/12/2012,Ryan Brookshaw d. (4) Alejandro Tabilo,6-1; 6-4
3/12/2012,Daniel Coronado d. (5) Andrey Tereshchenko,6-2; 6-1
3/12/2012,(7) Paulo Coronado d. Edward Elliott V.,4-6; 7-6(5); 6-4
3/12/2012,(3) David Crisovan d. Nikita Borodatov,6-4; 6-2
3/12/2012,Ty Trombetta d. jose calero,6-2; 6-1
3/12/2012,(1) Juan Rocha d. Oleg Markov,6-4; 6-2
3/12/2012,Semen Tripolskiy d. Benjamin Waalkes,6-1; 6-1
3/12/2012,Alex Warner d. (8) Jody Turnquest,4-6; 7-6(5); 7-6(5)
3/12/2012,Clint Bowles d. Alain Grullon,6-0; 6-0
3/12/2012,(4) Alejandro Tabilo d. Tony Kostadinov,Def (ns)
3/12/2012,Ryan Brookshaw d. Jordan Johnson,6-0; 6-0
3/12/2012,(5) Andrey Tereshchenko d. Jason Furlong,6-2; 6-0
3/12/2012,Daniel Coronado d. juan luzardo,6-1; 6-1
3/12/2012,Edward Elliott V. d. Runhao Hua,6-3; 4-6; 6-1
3/12/2012,(7) Paulo Coronado d. Anton Khyzhkin,Wd (ill)
3/12/2012,Nikita Borodatov d. Daniel Mendez,6-1; 6-0
3/12/2012,(3) David Crisovan d. Tristan Bautil,6-2; 6-2
3/12/2012,Ty Trombetta d. Anatoliy LAshkul,6-0; 6-0
3/12/2012,jose calero d. (6) Chris Wilson,6-4; 6-3
3/12/2012,Oleg Markov d. Justin Hubbard,6-0; 6-1
3/12/2012,Runhao Hua d. Jason Furlong,6-0; 6-0
3/12/2012,Runhao Hua d. Jordan Johnson,8-0
3/12/2012,Jason Furlong d. Daniel Mendez,Wo (emerg)
3/12/2012,Jason Furlong d. Justin Hubbard,8-5
3/19/2012,Eric Nunez d. Paulo Coronado,6-1; 6-0
3/19/2012,Paulo Coronado d. (2) Oleg Dmitriev,6-1; 7-5
3/19/2012,Eric Nunez d. Daniel Coronado,6-0; 3-0Ret (inj)
3/19/2012,(2) Oleg Dmitriev d. Sunay Bhat,6-1; 6-3
3/19/2012,Paulo Coronado d. Alejandro Gomez,6-4; 6-2
3/19/2012,Eric Nunez d. Mario Becerra,6-2; 6-1
3/19/2012,Daniel Coronado d. (1) Brian Dushock,6-2; 6-4
3/19/2012,(2) Oleg Dmitriev d. Nestor Briceno,6-7; 6-1; 10-7
3/19/2012,Sunay Bhat d. (5) EJ Sanford,6-2; 7-5
3/19/2012,Alejandro Gomez d. (3) Juan Rocha,6-3; 6-2
3/19/2012,Paulo Coronado d. (8) Chris Wilson,6-3; 6-1
3/19/2012,Eric Nunez d. Jack Anton,6-0; 6-2
3/19/2012,Mario Becerra d. (4) Victor Gurevich,6-0; 6-0
3/19/2012,Daniel Coronado d. (7) Andrey Tereshchenko,6-2; 6-1
3/19/2012,(1) Brian Dushock d. Oleg Markov,6-2; 6-0
3/19/2012,Nestor Briceno d. Alexey Nikolaev,6-4; 6-4
3/19/2012,(5) EJ Sanford d. Gervis Gonzalez,6-4; 4-6; 7-6(6)
3/19/2012,Sunay Bhat d. Vuntsir lee,6-0; 6-0
3/19/2012,Alejandro Gomez d. Juan Jaramillo,6-1; 6-0
3/19/2012,(8) Chris Wilson d. Santiago Martinez,6-4; 6-3
3/19/2012,Paulo Coronado d. jose calero,7-5; 6-1
3/19/2012,Eric Nunez d. Pedro Quijada,6-0; 6-0
3/19/2012,Jack Anton d. (6) Nicholas Nieto,6-1; 7-6(3)
3/19/2012,Mario Becerra d. Daniel Rice,6-2; 6-2
3/19/2012,Daniel Coronado d. Caio Camara,6-2; 6-4
3/19/2012,(7) Andrey Tereshchenko d. Robert Jakubik,6-1; 7-6(6)
3/19/2012,Oleg Markov d. Alexander Reut,7-6(3); 6-4
3/19/2012,Alexey Nikolaev d. Caio Camara,6-0; 6-1
3/19/2012,Alexey Nikolaev d. (3) Juan Rocha,Def (ns)
3/19/2012,Caio Camara d. Daniel Rice,6-4; 6-3
3/19/2012,Alexey Nikolaev d. Vuntsir lee,8-3
3/19/2012,Daniel Rice d. Pedro Quijada,8-6
3/19/2012,Caio Camara d. Alexander Reut,Def (ns)
3/19/2012,(3) Juan Rocha d. Juan Jaramillo,Def (refsl)
3/19/2012,Daniel Rice d. (4) Victor Gurevich,8-6
3/19/2012,Vuntsir lee d. Gervis Gonzalez,Def (ns)
3/19/2012,Pedro Quijada d. (6) Nicholas Nieto,Def (ns)
3/19/2012,Caio Camara d. Robert Jakubik,8-3
4/2/2012,Ryan Rowe d. Lorenzo Cava,3-6; 7-5; 7-5
4/2/2012,Ryan Rowe d. Gonzalo Gayoso,6-4; 6-2
4/2/2012,Lorenzo Cava d. Bernard Tefel,6-0; 6-0
4/2/2012,Gonzalo Gayoso d. Chase Colton,6-4; 6-4
4/2/2012,Ryan Rowe d. Chase Perez-Blanco,6-3; 6-3
4/2/2012,Bernard Tefel d. Tony Kostadinov,6-3; 7-6
4/2/2012,Lorenzo Cava d. Baker Newman,6-1; 6-0
4/2/2012,Chase Colton d. Sunay Bhat,6-4; 6-3
4/2/2012,Gonzalo Gayoso d. Mario Becerra,6-2; 6-2
4/2/2012,Chase Perez-Blanco d. (3) EJ Sanford,6-1; 6-2
4/2/2012,Ryan Rowe d. (5) Kenneth Sabacinski,7-6; 6-1
4/2/2012,Bernard Tefel d. Ryan Newman,6-1; 6-4
4/2/2012,Tony Kostadinov d. Jeffrey Mira,Wo (emerg)
4/2/2012,Lorenzo Cava d. Alexey Nikolaev,6-2; 6-0
4/2/2012,Baker Newman d. (1) Juan Rocha,6-2; 6-7; 4-1Ret (inj)
4/2/2012,Chase Colton d. (2) Joel Giger,6-4; 4-3Ret (inj)
4/2/2012,Sunay Bhat d. Robert Jakubik,6-0; 6-2
4/2/2012,Gonzalo Gayoso d. (7) Chris Wilson,6-1; 6-4
4/2/2012,Mario Becerra d. Sami Kierberg,6-4; 6-2
4/2/2012,(3) EJ Sanford d. Anthony Kontos,6-4; 7-6
4/2/2012,Chase Perez-Blanco d. John Cook,6-3; 6-3
4/2/2012,(5) Kenneth Sabacinski d. Eduardo Pacheco,6-2; 6-0
4/2/2012,Ryan Rowe d. Roberto Alvarez,6-0; 6-0
4/2/2012,Bernard Tefel d. Hillel Harris,6-3; 6-3
4/2/2012,Ryan Newman d. (8) Adam Rosales,6-2; 6-0
4/2/2012,Jeffrey Mira d. Anthony Schohn,Wo (emerg)
4/2/2012,Tony Kostadinov d. (4) Bill Cook,6-3; 6-2
